empl_ind_construction_%, agri_gross_value_livestock_m$, indstry_bus_trnsprt_pst_wrhsng_cnt, indstry_bus_prof_sci_tech_cnt, vhcl_light_rigid_truck, insolv_tot_debator_entr_bus_rel_per_insolv, agri_meat_chiecken_cnt, agri_broadacre_tot_area, bus_exit_20_plus_emply_cnt, year, vhcl_non_freight_truck, bus_exit_no_emply_cnt, empl_ind_admin_safety_%, fuel_type_diesel, bus_no_emply_cnt, bld_app_priv_dwl_exc_hs_cnt, sel_cause_non_bus_rel_insolv_caused_by_unemploy_loss_income, empl_ind_mnfctrng_%, res_prop_att_dwl_trnsfrs_cnt, indstry_bus_construction_cnt, vhcl_reg_over_10_yrs, vhcl_light_commercial, indstry_bus_mining_cnt, vhcl_heavy_rigid_truck, occ_debtor_service_worker, fuel_type_electric, vhcl_tot, p_t_trdmrk_apps_cnt, indstry_bus_hlth_soc_ass_cnt, indstry_bus_art_rec_cnt, agri_meat_cattle_cnt, empl_ind_admin_supp_%, bld_app_tot_priv_dwl_val_aud, bus_exit_5_19_emply_cnt, indstry_bus_admin_supp_cnt, bld_app_tot_non_res_bld_val_aud, occ_debtor_technician_trade, indstry_bus_retail_trd_cnt, vhcl_reg_less_than_5_yrs, vhcl_campervans, bld_app_tot_priv_dwl_cnt, indstry_bus_financ_insur_cnt, agri_gross_value_agri_production_m$, empl_ind_whlsle_trd_%, indstry_bus_accom_food_cnt, bld_app_priv_hse_cnt, fuel_type_petrol, vhcl_passenger, occ_debtor_professional, indstry_bus_tot_cnt, empl_ind_oth_serv_%, bld_app_priv_hse_val_aud, sel_cause_bus_rel_insolv_caused_by_economic, bld_app_priv_dwl_exc_hs_val_aud, indstry_bus_current_unkwn_cnt, indstry_bus_whlsle_trd_cnt, tourist_accom_over_15_rooms, bus_entr_tot_cnt, agri_area_holding, empl_ind_mining_%, occ_debtor_other_unkwn, empl_ind_edu_train_%, agri_veg_human_consumption, bus_entr_no_emply_cnt, bus_20_plus_emply_cnt, indstry_bus_ag_frst_fsh_cnt, indstry_bus_oth_serv_cnt, p_t_patent_apps_cnt, indstry_bus_rent_rl_est_cnt, indstry_bus_infomedia_telecom_cnt, bus_entr_5_19_emply_cnt, bld_app_tot_res_bld_val_aud, occ_debtor_sales_worker, indstry_bus_mnfctrng_cnt, bus_entr_20_plus_emply_cnt, indstry_bus_edu_train_cnt, agri_gross_value_crops_m$, res_prop_att_dwl_med_sal_prc_aud, empl_ind_hlth_soc_assist_%, agri_fruit_nut_orchard_tree, occ_debtor_machinery_op_driver, vhcl_motorcycles, empl_ind_ag_frst_fsh_%, empl_tot, bus_tot_cnt, agri_dairy_cattle_cnt, occ_debtor_labourer, bld_app_tot_dwl_cnt, empl_ind_prof_sci_tech_cnt_%, agri_sheep_cnt, sa2_main16, bus_5_19_emply_cnt, empl_ind_retail_trd_%, fuel_type_lpg_dual_other, insolv_tot_debator_entr_per_insolv, bus_entr_1_4_emply_cnt, occ_debtor_clerical_admin, empl_ind_trnsprt_pst_wrhsng_%, sel_cause_non_bus_rel_insolv_caused_by_excess_credit_use, empl_ind_elc_gs_wtr_wst_%, res_prop_hse_med_sal_prc_aud, empl_ind_rent_rl_est_%, agri_pig_cnt, vhcl_buses, insolv_tot_debator_entr_non_bus_rel_per_insolv, sa2_name16, bus_exit_tot_cnt, empl_ind_financ_insur_%, indstry_bus_elc_gs_wtr_wst_cnt, bld_app_tot_bld_val_aud, res_prop_hse_trnsfs_cnt, vhcl_reg_5_to_10, bus_1_4_emply_cnt, empl_ind_accom_food_%, empl_ind_art_rec_%, occ_debtor_manager, bus_exit_1_4_emply_cnt, indstry_bus_pub_admin_safety_cnt, vhcl_articulated_truck, empl_ind_infomedia_telecom_%
null,null,90,448,36,null,null,null,null,2016,null,197,null,1548,1347,393,null,null,null,311,6015,843,3,40,null,6,14135,null,156,27,null,null,145.0,13,77,9.0,null,151,3763,12,477,230,null,null,96,84,12281,12751,null,2190,null,45.0,null,100.0,24,99,null,348,null,null,null,null,null,247,32,20,75,null,253,33,12,145.0,null,54,null,39,null,null,null,null,null,430,null,null,2190,null,null,477,null,null,"208021174",168,null,307,null,84,null,null,null,null,null,null,null,19,null,"Bentleigh  McKinnon",262,null,3,154.0,null,4369,645,null,null,null,59,5,4,null
null,null,37,349,42,null,null,null,5,2016,9,159,null,1512,1068,1164,null,null,null,153,1336,666,null,84,null,6,5934,null,73,34,null,null,414.0,14,80,146.0,null,86,3050,5,1170,269,null,null,145,6,4337,4834,null,1830,null,4.0,null,410.0,49,94,7,412,null,null,null,null,null,275,57,12,37,null,343,21,10,417.0,null,22,3,25,null,null,null,null,null,267,null,null,1830,null,null,1170,null,null,"206041118",180,null,123,null,123,null,null,null,null,null,null,null,20,null,"Docklands",236,null,5,563.0,null,1535,527,null,null,null,57,5,7,null
null,null,65,176,24,null,null,null,null,2016,4,84,null,977,646,73,null,null,null,196,3990,725,null,53,null,4,8971,null,59,16,null,null,47.0,null,48,1.0,null,85,2250,14,118,91,null,null,40,45,7763,7902,null,1006,null,21.0,null,25.0,21,37,null,169,null,null,null,null,null,126,16,7,42,null,87,4,3,47.0,null,24,null,17,null,null,null,null,null,227,null,null,1006,null,null,118,null,null,"208021427",54,null,228,null,38,null,null,null,null,null,null,null,19,null,"Bentleigh East (South)",117,null,null,48.0,null,2722,298,null,null,null,40,3,3,null
null,null,15,278,27,null,null,null,null,2016,5,159,null,891,1126,261,null,null,null,124,1579,342,5,44,null,10,5534,null,170,25,null,null,100.0,8,61,30.0,null,57,2481,3,263,310,null,null,67,2,4614,4916,null,1611,null,13.0,null,87.0,27,39,1,224,null,null,null,null,null,176,56,29,23,null,311,22,5,103.0,null,27,3,15,null,null,null,null,null,165,null,null,1611,null,null,263,null,null,"206041125",106,null,57,null,42,null,null,null,null,null,null,null,20,null,"South Yarra  West",208,null,3,134.0,null,1468,316,null,null,null,34,3,12,null
null,null,149,44,70,null,null,null,null,2016,12,84,null,1625,462,24,null,null,null,165,5932,1326,3,242,null,51,12438,null,38,5,null,null,12.0,null,23,16.0,null,34,2918,13,60,21,null,null,28,36,10215,10325,null,652,null,8.0,null,4.0,8,14,null,139,null,null,null,null,null,95,7,4,28,null,42,5,5,13.0,null,12,3,12,null,null,null,null,null,374,null,null,652,null,null,60,null,null,"209041431",22,null,651,null,39,null,null,null,null,null,null,null,29,null,"Epping  East",102,null,4,28.0,null,3575,155,null,null,null,23,5,47,null
null,null,75,223,21,null,null,null,null,2016,null,111,null,853,737,112,null,null,null,124,3548,489,3,24,null,3,8229,null,84,23,null,null,42.0,5,62,3.0,null,81,2148,8,133,92,null,null,57,21,7193,7434,null,1117,null,14.0,null,28.0,29,50,null,184,null,null,null,null,null,140,12,4,38,null,108,10,3,42.0,null,27,null,11,null,null,null,null,null,239,null,null,1117,null,null,133,null,null,"208021182",65,null,184,null,43,null,null,null,null,null,null,null,11,null,"Ormond  Glen Huntly",152,null,3,45.0,null,2536,309,null,null,null,34,5,3,null
null,null,18,6,null,null,null,null,3,2016,null,4,null,null,45,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.0,null,3,null,null,null,4,null,null,null,null,null,null,null,94,null,null,null,null,3,12,null,10,null,null,null,null,null,4,11,null,null,null,15,null,null,null,null,14,null,11,null,null,null,null,null,null,null,null,94,null,null,null,null,null,"208031192",23,null,null,null,4,null,null,null,null,null,null,null,null,null,"Moorabbin Airport",8,null,null,44.0,null,null,19,null,null,null,3,null,null,null
null,null,55,231,55,null,null,null,null,2016,8,137,null,2146,903,52,null,null,null,400,7091,1694,null,115,null,3,15690,null,89,19,null,null,28.0,4,49,35.0,null,106,3828,26,85,141,null,null,37,33,13069,13126,null,1545,null,16.0,null,12.0,16,44,null,200,null,null,null,null,null,157,21,16,70,null,152,12,6,29.0,null,56,null,36,null,null,null,null,null,624,null,null,1545,null,null,85,null,null,"209011197",118,null,498,null,36,null,null,null,null,null,null,null,37,null,"Greensborough",195,null,3,64.0,null,4767,502,null,null,null,49,5,5,null
null,null,36,110,null,null,null,null,null,2016,null,78,null,null,603,null,null,null,null,138,5,null,null,null,null,null,9,null,3,13,null,null,null,9,32,12.0,null,78,3,null,null,123,null,null,18,null,9,9,null,1359,null,null,null,null,19,218,1,117,null,null,null,null,null,65,126,6,63,null,208,5,11,null,null,265,3,5,null,null,null,null,null,null,null,null,1359,null,null,null,null,null,"208031184",292,null,null,null,36,null,null,null,null,null,null,null,null,null,"Braeside",104,null,12,12.0,null,4,335,null,null,null,20,3,null,null
null,null,18,291,8,null,null,null,null,2016,null,151,null,828,1143,130,null,null,null,154,2118,190,8,11,null,4,5665,null,152,34,null,null,106.0,5,61,11.0,null,139,1754,4,139,249,null,null,67,9,4765,5301,null,1729,null,38.0,null,68.0,27,52,null,224,null,null,null,null,null,159,27,24,63,null,295,21,12,108.0,null,46,null,27,null,null,null,null,null,138,null,null,1729,null,null,139,null,null,"206061135",176,null,67,null,49,null,null,null,null,null,null,null,13,null,"Armadale",198,null,null,120.0,null,1799,384,null,null,null,39,3,null,null
